Target AFR Basic
14,70;14,70;14,70;14,70;14,70;14,70;14,89;14,89;14,29;13,79;13,29;12,79;
14,70;14,70;14,70;14,70;14,70;14,70;14,85;14,85;14,25;13,75;13,25;12,75;
14,70;14,70;14,70;14,70;14,70;14,70;14,81;14,81;14,21;13,71;13,21;12,71;
14,70;14,70;14,70;14,70;14,70;14,70;14,77;14,77;14,17;13,67;13,17;12,67;
14,70;14,70;14,60;14,60;14,60;14,60;14,73;14,73;14,13;13,63;13,13;12,63;
14,70;14,70;14,60;14,60;14,60;14,60;14,69;14,69;14,09;13,59;13,09;12,59;
14,70;14,70;14,60;14,60;14,60;14,60;14,65;14,65;14,05;13,55;13,05;12,55;
14,70;14,70;14,57;14,57;14,57;14,57;14,61;14,61;14,01;13,51;13,01;12,51;
14,70;14,70;14,55;14,55;14,55;14,55;14,57;14,57;13,97;13,47;12,97;12,47;
14,70;14,70;14,53;14,53;14,53;14,53;14,53;14,53;13,93;13,43;12,93;12,43;
14,70;14,70;14,51;14,51;14,51;14,51;14,49;14,49;13,89;13,39;12,89;12,39;
14,70;14,70;14,49;14,49;14,49;14,49;14,45;14,45;13,85;13,35;12,85;12,35;
14,70;14,70;14,46;14,46;14,46;14,46;14,40;14,40;13,80;13,30;12,80;12,30;
14,70;14,70;14,44;14,44;14,44;14,44;14,40;14,40;13,80;13,30;12,80;12,30;
14,70;14,70;14,42;14,42;14,42;14,42;14,30;14,30;13,70;13,20;12,70;12,20;
14,70;14,70;14,40;14,40;14,40;14,40;14,30;14,30;13,70;13,20;12,70;12,20;

Target AFR Idle
14,70;14,70;14,70;14,70;14,70;14,70;
14,70;14,70;14,70;14,70;14,70;14,70;
14,70;14,70;14,70;14,70;14,70;14,70;
14,70;14,70;14,70;14,70;14,70;14,70;
14,70;14,70;14,70;14,70;14,70;14,70;
14,70;14,70;14,70;14,70;14,70;14,70;
